Date,Days_after_First_Cases,Cases_Domestic,Deaths_Domestic,DailyConfirmed_Domestic,DailyDeath_Domestic,Cases_Capital,Deaths_Capital,DailyConfirmed_Capital,DailyDeath_Capital,Cases_NonCapital,Deaths_NonCapital,DailyConfirmed_NonCapital,DailyDeath_NonCapital,Cases_Chungcheong,Deaths_Chungcheong,DailyConfirmed_Chungcheong,DailyDeath_Chungcheong,Cases_Honam,Deaths_Honam,DailyConfirmed_Honam,DailyDeath_Honam,Cases_Gyeongbuk,Deaths_Gyeongbuk,DailyConfirmed_Gyeongbuk,DailyDeath_Gyeongbuk,Cases_Gyeongnam,Deaths_Gyeongnam,DailyConfirmed_Gyeongnam,DailyDeath_Gyeongnam,Cases_Gangwon,Deaths_Gangwon,DailyConfirmed_Gangwon,DailyDeath_Gangwon,Cases_Jeju,Deaths_Jeju,DailyConfirmed_Jeju,DailyDeath_Jeju
2020-01-20,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-21,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-22,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-23,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-24,5,2,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-25,6,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-26,7,3,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-27,8,4,0,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-28,9,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-29,10,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
